qseqid	pident	min_pident	K	P	C	O	F	G	S
LT969432.1	64.706	34.706	Eukaryota	Arthropoda	Insecta	Psocoptera	Caeciliusidae	Valenzuela	Valenzuela badiostigma
LM525018.1	65.6	35.6	Eukaryota	Arthropoda	Insecta	Psocoptera	Cladiopsocidae	Cladiopsocus	Cladiopsocus sp. 3.2.2004.14
LM525075.1	65.6	35.6	Eukaryota	Arthropoda	Insecta	Psocoptera	Cladiopsocidae	Cladiopsocus	Cladiopsocus sp. 3.2.2004.14
AF364507.1	76.923	46.923	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
AM040258.1	72.816	42.816	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
JN035720.1	72.816	42.816	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
GQ343273.1	78.095	48.095	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
GQ203156.1	79.245	49.245	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
FJ230775.1	78.302	48.302	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
EU719112.1	79.048	49.048	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
GQ466405.1	79.048	49.048	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
GQ466404.1	79.048	49.048	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
GQ343270.1	78.095	48.095	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
FJ230774.1	79.245	49.245	Eukaryota	Rotifera	Monogononta	Ploima	Asplanchnidae	Asplanchna	Asplanchna sieboldi
