qseqid	pident	min_pident	K	P	C	O	F	G	S
AB002113.1	100	99	Eukaryota	Arthropoda	Malacostraca	Decapoda	Dotillidae	Ilyoplax	Ilyoplax pusilla
AB026615.1	100	99	Eukaryota	Arthropoda	Insecta	Hemiptera	Hermatobatidae	Hermatobates	Hermatobates weddi
AB055624.1	100	99	Eukaryota	Mollusca	Bivalvia	Unionida	Unionidae	Pronodularia	Pronodularia japanensis
AB056743.1	100	99	Eukaryota	Arthropoda	Insecta	Diptera	Simuliidae	Simulium	Simulium whartoni
AP017443.1	100	99	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos otakii
KR362879.1	100	99	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos otakii
AB084129.1	100	99	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos otakii
AP006786.1	100	99	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos otakii
AY583112.1	99.545	99	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos otakii
AB770486.1	100	99	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos otakii
AB084130.1	100	99	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos agrammus
AB763992.1	100	99	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos agrammus
AB093099.1	100	99	Eukaryota	Arthropoda	Insecta	Diptera	Simuliidae	Simulium	Simulium nigrogilvum
LC439699.1	99.383	99	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Dipteromimidae	Dipteromimus	Dipteromimus tipuliformis
LC439693.1	99.383	99	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Dipteromimidae	Dipteromimus	Dipteromimus tipuliformis
LC439697.1	100	99	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Dipteromimidae	Dipteromimus	Dipteromimus tipuliformis
AB110257.1	100	99	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Dipteromimidae	Dipteromimus	Dipteromimus tipuliformis
LC439694.1	99.383	99	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Dipteromimidae	Dipteromimus	Dipteromimus tipuliformis
AB162640.1	100	99	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Leuciscus	Leuciscus waleckii
