qseqid	pident	min_pident	K	P	C	O	F	G	S
AY648140.1	97.531	96.531	Eukaryota	Arthropoda	Insecta	Hemiptera	Hermatobatidae	Hermatobates	Hermatobates weddi
AB282848.1	100	99	Eukaryota	Chordata	Actinopteri	Perciformes	Hexagrammidae	Hexagrammos	Hexagrammos otakii
KT207451.1	95.679	94.679	Eukaryota	Arthropoda	Insecta	Diptera	Simuliidae	Simulium	Simulium nigrogilvum
KP259548.1	99.522	99	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Auxis	Auxis thazard
KM651784.1	99.522	99	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Auxis	Auxis thazard
KM055379.1	99.522	99	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Auxis	Auxis thazard
MK548578.1	99.528	99	Eukaryota	Chordata	Actinopteri	Scombriformes	Scombridae	Auxis	Auxis thazard
JX971538.1	99.061	98.531	Eukaryota	Chordata	Actinopteri	Gobiiformes	Gobiidae	Luciogobius	Luciogobius grandis
AF038487.1	95.909	95.364	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Leuciscus	Leuciscus waleckii
AY216543.1	95	94.455	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Leuciscus	Leuciscus waleckii
AY952484.2	100	99	Eukaryota	Chordata	Actinopteri	Scombriformes	Nomeidae	Psenes	Psenes cyanophrys
DQ459280.1	95.726	94.726	Eukaryota	Mollusca	Bivalvia	Veneroida	Veneridae	Mercenaria	Mercenaria mercenaria
AB084129.1	100	99	Eukaryota	Chordata	Actinopteri	Lophiiformes	Thaumatichthyidae	Lasiognathus	Lasiognathus sp. NMMBP 9030
AB770486.1	100	99	Eukaryota	Chordata	Actinopteri	Lophiiformes	Thaumatichthyidae	Lasiognathus	Lasiognathus sp. NMMBP 9030
AP006786.1	100	99	Eukaryota	Chordata	Actinopteri	Lophiiformes	Thaumatichthyidae	Lasiognathus	Lasiognathus sp. NMMBP 9030
AY583112.1	99.545	98.545	Eukaryota	Chordata	Actinopteri	Lophiiformes	Thaumatichthyidae	Lasiognathus	Lasiognathus sp. NMMBP 9030
AP017443.1	100	99	Eukaryota	Chordata	Actinopteri	Lophiiformes	Thaumatichthyidae	Lasiognathus	Lasiognathus sp. NMMBP 9030
KR362879.1	100	99	Eukaryota	Chordata	Actinopteri	Lophiiformes	Thaumatichthyidae	Lasiognathus	Lasiognathus sp. NMMBP 9030
AY742549.1	100	99	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus dolomieu
AY742548.1	99.083	98.083	Eukaryota	Chordata	Actinopteri	Centrarchiformes	Centrarchidae	Micropterus	Micropterus dolomieu
JN681070.1	97.619	96.619	Eukaryota	Bryozoa	Gymnolaemata	Ctenostomatida	Paludicellidae	Paludicella	Paludicella articulata
AB699949.1	95.152	94.152	Eukaryota	Arthropoda	Insecta	Diptera	Tachinidae	Exorista	Exorista hyalipennis
AB699946.1	95.152	94.152	Eukaryota	Arthropoda	Insecta	Diptera	Tachinidae	Exorista	Exorista sabahensis
KX890770.1	95.181	94.181	Eukaryota	Arthropoda	Insecta	Odonata	Gomphidae	Nihonogomphus	Nihonogomphus viridis
KF256867.1	100	99	Eukaryota	Arthropoda	Insecta	Odonata	Gomphidae	Onychogomphus	Onychogomphus viridicostus
AB918948.1	100	99	Eukaryota	Arthropoda	Insecta	Psocoptera	Caeciliusidae	Valenzuela	Valenzuela kamakurensis
LC098598.1	99.541	98.541	Eukaryota	Chordata	Actinopteri	Siluriformes	Siluridae	Silurus	Silurus soldatovi
LC098601.1	99.541	98.541	Eukaryota	Chordata	Actinopteri	Siluriformes	Siluridae	Silurus	Silurus soldatovi
LC098609.1	100	99	Eukaryota	Chordata	Actinopteri	Siluriformes	Siluridae	Silurus	Silurus soldatovi
JX068847.1	98.624	97.624	Eukaryota	Chordata	Actinopteri	Siluriformes	Siluridae	Silurus	Silurus soldatovi
JX087351.1	98.624	97.624	Eukaryota	Chordata	Actinopteri	Siluriformes	Siluridae	Silurus	Silurus soldatovi
LC098612.1	100	99	Eukaryota	Chordata	Actinopteri	Siluriformes	Siluridae	Silurus	Silurus soldatovi
JN116720.1	99.083	98.083	Eukaryota	Chordata	Actinopteri	Siluriformes	Siluridae	Silurus	Silurus soldatovi
LC098597.1	99.541	98.541	Eukaryota	Chordata	Actinopteri	Siluriformes	Siluridae	Silurus	Silurus soldatovi
DQ029054.1	100	99	Eukaryota	Chordata	Actinopteri	Siluriformes	Siluridae	Silurus	Silurus soldatovi
MK895951.1	98.165	97.165	Eukaryota	Chordata	Actinopteri	Siluriformes	Siluridae	Silurus	Silurus soldatovi
LC098602.1	100	99	Eukaryota	Chordata	Actinopteri	Siluriformes	Siluridae	Silurus	Silurus soldatovi
LC098599.1	99.083	98.083	Eukaryota	Chordata	Actinopteri	Siluriformes	Siluridae	Silurus	Silurus soldatovi
LC098610.1	99.541	98.541	Eukaryota	Chordata	Actinopteri	Siluriformes	Siluridae	Silurus	Silurus soldatovi
JX068844.1	100	99	Eukaryota	Chordata	Actinopteri	Siluriformes	Siluridae	Silurus	Silurus soldatovi
AB856931.1	100	99	Eukaryota	Arthropoda	Insecta	Psocoptera	Caeciliusidae	Valenzuela	Valenzuela flavidus
CP042180.1	100	99	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas putida
CP022344.1	95.031	94.342	Bacteria	Proteobacteria	Betaproteobacteria	Neisseriales	Chromobacteriaceae	Chromobacterium	Chromobacterium violaceum
CP014963.1	99.728	98.728	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfuromonadales	Geobacteraceae	Geobacter	Geobacter sulfurreducens
AP009194.1	95.631	94.631	Eukaryota	Chordata	Aves	Podicipediformes	Podicipedidae	Podiceps	Podiceps auritus
AF177135.1	98.78	97.78	Eukaryota	Arthropoda	Insecta	Diptera	Tephritidae	Strauzia	Strauzia vittigera
AF177134.1	98.78	97.78	Eukaryota	Arthropoda	Insecta	Diptera	Tephritidae	Strauzia	Strauzia intermedia
AY793561.1	99.383	98.383	Eukaryota	Arthropoda	Insecta	Orthoptera	Rhaphidophoridae	Ceuthophilus	Ceuthophilus latens
KX890730.1	100	99	Eukaryota	Arthropoda	Insecta	Odonata	Gomphidae	Gomphus	Gomphus graslinii
EU477672.1	99.394	98.394	Eukaryota	Arthropoda	Insecta	Odonata	Gomphidae	Onychogomphus	Onychogomphus forcipatus
HM449119.1	97.59	96.59	Eukaryota	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	Homarus americanus
MH300636.1	97.59	96.59	Eukaryota	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	Homarus americanus
MH300622.1	97.59	96.59	Eukaryota	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	Homarus americanus
U55843.1	100	99	Eukaryota	Arthropoda	Malacostraca	Decapoda	Nephropidae	Homarus	Homarus americanus
GU071054.1	96.117	95.117	Eukaryota	Chordata	Aves	Pelecaniformes	Phalacrocoracidae	Nannopterum	Nannopterum auritus
AY098830.1	100	99	Eukaryota	Chordata	Actinopteri	Blenniiformes	Blenniidae	Parablennius	Parablennius parvicornis
EF414452.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Dreissenidae	Dreissena	Dreissena presbensis
EF414459.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Dreissenidae	Dreissena	Dreissena presbensis
EF414463.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Dreissenidae	Dreissena	Dreissena presbensis
EF414454.1	100	99	Eukaryota	Mollusca	Bivalvia	Veneroida	Dreissenidae	Dreissena	Dreissena presbensis
DQ447688.1	97.685	96.685	Eukaryota	Chordata	Actinopteri	Cypriniformes	Leuciscidae	Telestes	Telestes muticellus
AY647203.1	100	99	Eukaryota	Rotifera	Monogononta	Ploima	Brachionidae	Brachionus	Brachionus plicatilis
EU046255.1	100	99	Eukaryota	Rotifera	Monogononta	Ploima	Brachionidae	Brachionus	Brachionus plicatilis
EU046262.1	100	99	Eukaryota	Rotifera	Monogononta	Ploima	Brachionidae	Brachionus	Brachionus plicatilis
EU046261.1	100	99	Eukaryota	Rotifera	Monogononta	Ploima	Brachionidae	Brachionus	Brachionus plicatilis
EU046263.1	100	99	Eukaryota	Rotifera	Monogononta	Ploima	Brachionidae	Brachionus	Brachionus plicatilis
AJ971735.1	96.575	95.575	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Labiobaetis	Labiobaetis vulgaris
AJ971725.1	96.575	95.575	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Labiobaetis	Labiobaetis gilliesi
AJ971740.1	95.425	94.425	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Herbrossus	Herbrossus edmundsorum
AJ971738.1	95.425	94.425	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Guloptiloides	Guloptiloides gargantua
AJ971775.1	96.026	95.732	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Baetis	Baetis harrisoni
HM637025.1	95.425	94.425	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Labiobaetis	Labiobaetis sp. BMNH 704637
HM636988.1	95.425	94.425	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Labiobaetis	Labiobaetis sp. BMNH 704637
HM636987.1	95.425	94.425	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Labiobaetis	Labiobaetis sp. BMNH 704637
HM637012.1	95.425	94.425	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Labiobaetis	Labiobaetis sp. BMNH 704637
HM637009.1	96.732	95.732	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Labiobaetis	Labiobaetis sp. BMNH 704637
HM637014.1	96.078	95.078	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Labiobaetis	Labiobaetis sp. BMNH 704637
HM637013.1	96.078	95.078	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Labiobaetis	Labiobaetis sp. BMNH 704637
HM637010.1	96.078	95.078	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Labiobaetis	Labiobaetis sp. BMNH 704637
HM636991.1	95.425	94.425	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Labiobaetis	Labiobaetis sp. BMNH 704637
HM637007.1	96.078	95.078	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Labiobaetis	Labiobaetis sp. BMNH 704637
AJ971743.1	96.026	95.026	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Labiobaetis	Labiobaetis sp. BMNH 704637
JN035898.1	100	99	Eukaryota	Rotifera	Monogononta	Ploima	Brachionidae	Brachionus	Brachionus sp. Almenara
DQ029055.1	95.023	94.023	Eukaryota	Chordata	Actinopteri	Siluriformes	Siluridae	Silurus	Silurus glanis
