qseqid	pident	min_pident	K	P	C	O	F	G	S
AB465919.1	90.244	0	Eukaryota	Arthropoda	Insecta	Diptera	Tachinidae	Ctenophorinia	Ctenophorinia christianae
AB257222.1	90.244	0	Eukaryota	Arthropoda	Insecta	Diptera	Tachinidae	Isosturmia	Isosturmia japonica
AB856931.1	90.728	0	Eukaryota	Arthropoda	Insecta	Psocoptera	Caeciliusidae	Coryphosmila	Coryphosmila dolabrata
AB918948.1	90.728	0	Eukaryota	Arthropoda	Insecta	Psocoptera	Caeciliusidae	Coryphosmila	Coryphosmila dolabrata
LN774881.1	90.323	0	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	unknown	secondary endosymbiont of Melanococcus albizziae
KT956343.1	91.463	0	Eukaryota	Arthropoda	Insecta	Diptera	Lauxaniidae	Sapromyza	Sapromyza bentejui
AJ971740.1	95.425	0	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Herbrossus	Herbrossus edmundsorum
AJ971738.1	95.425	0	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Guloptiloides	Guloptiloides gargantua
KF438116.1	90.26	0	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Labiobaetis	Labiobaetis sp. BMNH 704637
KF438117.1	90.909	0	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Labiobaetis	Labiobaetis sp. BMNH 704637
HM636988.1	95.425	0	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Labiobaetis	Labiobaetis sp. BMNH 704637
HM637007.1	96.078	0	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Labiobaetis	Labiobaetis sp. BMNH 704637
HM637014.1	96.078	0	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Labiobaetis	Labiobaetis sp. BMNH 704637
HM636991.1	95.425	0	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Labiobaetis	Labiobaetis sp. BMNH 704637
HM636989.1	94.771	0	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Labiobaetis	Labiobaetis sp. BMNH 704637
HM637012.1	95.425	0	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Labiobaetis	Labiobaetis sp. BMNH 704637
KF438105.1	90.196	0	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Labiobaetis	Labiobaetis sp. BMNH 704637
HM637016.1	90.196	0	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Labiobaetis	Labiobaetis sp. BMNH 704637
HM637013.1	96.078	0	Eukaryota	Arthropoda	Insecta	Ephemeroptera	Baetidae	Labiobaetis	Labiobaetis sp. BMNH 704637
